algorithm,input_features,runtime_seconds,best_fitness,accuracy,selected_count,selected_features
BGA,5,1.1260312999365851,0.1231578947368421,0.9298245614035088,3,"mean radius, mean texture, mean smoothness"
BPSO,5,1.0654075999045745,0.1231578947368421,0.9298245614035088,3,"mean radius, mean texture, mean smoothness"
BGWO,5,1.0708169999998063,0.1231578947368421,0.9298245614035088,3,"mean radius, mean texture, mean smoothness"
BWOA,5,1.0589995000045747,0.1231578947368421,0.9298245614035088,3,"mean radius, mean texture, mean smoothness"
BGA,10,1.2039848000276834,0.07157894736842106,0.9649122807017544,4,"mean texture, mean area, mean concave points, mean symmetry"
BPSO,10,1.102448399993591,0.07157894736842106,0.9649122807017544,4,"mean texture, mean area, mean concave points, mean symmetry"
BGWO,10,1.174481000052765,0.08210526315789474,0.9532163742690059,4,"mean texture, mean area, mean smoothness, mean concavity"
BWOA,10,1.1683752000099048,0.08210526315789474,0.9532163742690059,4,"mean texture, mean perimeter, mean concave points, mean symmetry"
BGA,15,1.2209506999934092,0.07157894736842106,0.9649122807017544,6,"mean texture, mean concavity, mean concave points, texture error, area error, smoothness error"
BPSO,15,1.1947017000056803,0.07122807017543864,0.935672514619883,2,"mean concave points, smoothness error"
BGWO,15,1.369668500032276,0.08491228070175438,0.9649122807017544,8,"mean texture, mean smoothness, mean concavity, mean concave points, mean symmetry, mean fractal dimension, area error, smoothness error"
BWOA,15,1.3354734000749886,0.08070175438596497,0.9473684210526315,5,"mean texture, mean concavity, mean concave points, mean fractal dimension, texture error"
BGA,20,2.8142772000283003,0.04605263157894737,0.9766081871345029,5,"mean texture, mean area, mean smoothness, mean concave points, concave points error"
BPSO,20,1.3899386000121012,0.06078947368421058,0.9824561403508771,9,"mean texture, mean area, mean smoothness, mean concave points, mean symmetry, radius error, perimeter error, area error, symmetry error"
BGWO,20,1.6212232999969274,0.07631578947368427,0.9707602339181286,10,"mean perimeter, mean compactness, mean concavity, mean fractal dimension, radius error, perimeter error, concavity error, concave points error, symmetry error, fractal dimension error"
BWOA,20,1.4284301999723539,0.06657894736842104,0.9649122807017544,7,"mean texture, mean perimeter, mean smoothness, mean concavity, mean symmetry, radius error, symmetry error"
BGA,25,1.4249214000301436,0.04252631578947368,0.9883040935672515,8,"area error, concave points error, symmetry error, fractal dimension error, worst radius, worst texture, worst perimeter, worst smoothness"
BPSO,25,1.50111939990893,0.04378947368421058,0.9824561403508771,7,"mean concave points, mean symmetry, area error, compactness error, concavity error, worst radius, worst texture"
BGWO,25,1.9793548000743613,0.05852631578947368,0.9883040935672515,12,"mean texture, mean area, mean concave points, mean symmetry, mean fractal dimension, texture error, compactness error, concavity error, worst texture, worst perimeter, worst area, worst smoothness"
BWOA,25,1.6457570000784472,0.04126315789473689,0.9941520467836257,9,"mean perimeter, mean smoothness, mean concavity, mean concave points, compactness error, concave points error, worst texture, worst area, worst smoothness"
BGA,30,1.4950469000032172,0.05298245614035093,0.9707602339181286,8,"mean texture, mean perimeter, mean area, mean compactness, mean concavity, compactness error, worst concavity, worst concave points"
BPSO,30,1.737936699995771,0.0649122807017544,0.9649122807017544,10,"mean texture, mean compactness, mean concave points, radius error, concavity error, symmetry error, worst compactness, worst concavity, worst concave points, worst fractal dimension"
BGWO,30,2.3610789000522345,0.0735087719298246,0.9590643274853801,11,"mean perimeter, mean area, mean concave points, area error, compactness error, symmetry error, fractal dimension error, worst perimeter, worst concavity, worst concave points, worst fractal dimension"
BWOA,30,2.349124899948947,0.07631578947368427,0.9707602339181286,15,"mean radius, mean perimeter, mean smoothness, mean concavity, mean concave points, mean fractal dimension, radius error, perimeter error, smoothness error, concavity error, symmetry error, worst texture, worst smoothness, worst concavity, worst concave points"
